start_lat,start_lon,destination_lat,destination_lon,departure,conventional_t (in min),conventional_arrival,conventional_d (in km),pickup_station,dropoff_station,pickup_coord,dropoff_coord,distance_to_pickup,distance_from_dropoff,time_to_pickup,time_from_dropoff,min_ferry_time
51.267111331255336,6.6739633462285255,51.25610675658964,6.748914493708121,8,27,35,8417,2,20,"(51.26988, 6.70078)","(51.26726, 6.70757)",1896.76,3141.38,7,12,23
51.23371633008557,6.75090827005904,51.25754130992384,6.746604044293086,13,15,28,4249,12,28,"(51.24654, 6.75545)","(51.2517, 6.75325)",1461.5,798.49,5,3,12
51.26784022953572,6.732107358996291,51.24397888700182,6.718643844915142,12,27,39,8737,23,6,"(51.25988, 6.72197)","(51.25711, 6.71907)",1133.56,1461.18,4,5,12
51.235469636427794,6.749538112295726,51.26053262424641,6.752728855511555,6,16,22,5117,11,28,"(51.24869, 6.75055)","(51.2517, 6.75325)",1472.5,983.33,5,3,11
51.26505931091081,6.730234630245846,51.24083846262574,6.728477123805503,15,22,37,6790,25,8,"(51.25632, 6.73558)","(51.25323, 6.73313)",1041.42,1416.36,4,5,12
51.26531490026873,6.718290717029107,51.271777950064944,6.67585956311744,13,21,34,6229,21,3,"(51.26387, 6.71174)","(51.26532, 6.70355)",484.66,2061.79,1,8,13
51.2465327408658,6.698827378234343,51.26325776531081,6.7218575987251015,4,25,29,7339,5,23,"(51.25965, 6.71313)","(51.25988, 6.72197)",1768.26,375.87,7,1,12
51.23194078749507,6.756923239340988,51.2564966007553,6.753252207376781,17,14,31,4364,14,30,"(51.24034, 6.76337)","(51.24472, 6.7643)",1037.25,1520.38,4,6,14
51.26743708644448,6.7128348871595085,51.23825865389618,6.690819695361356,10,28,38,8227,21,4,"(51.26387, 6.71174)","(51.26235, 6.70734)",404.14,2917.89,1,11,15
51.26667132135406,6.715318696054588,51.24235993916099,6.745081629782224,15,18,33,5604,22,6,"(51.26146, 6.71688)","(51.25711, 6.71907)",589.93,2447.69,2,9,15
51.26135052044848,6.731409630093519,51.24327950080743,6.688739571040025,3,30,33,9441,23,5,"(51.25988, 6.72197)","(51.25965, 6.71313)",678.93,2493.36,2,9,15
51.2669049446316,6.697839959692424,51.260996643561214,6.744165485351851,0,23,23,7138,3,21,"(51.26532, 6.70355)","(51.26387, 6.71174)",435.8,2285.79,1,9,14
51.25337580133164,6.6796625463080765,51.27622256556972,6.716033920857808,16,19,35,5532,1,17,"(51.27351, 6.70037)","(51.27648, 6.70598)",2665.83,702.15,10,2,16
51.2613843006215,6.681675554944492,51.273238183366736,6.714841733375625,16,15,31,4530,3,20,"(51.26532, 6.70355)","(51.26726, 6.70757)",1588.37,836.6,6,3,12
51.24079822627357,6.7774936315934,51.27231749322051,6.693585732183427,12,30,42,9332,31,13,"(51.24133, 6.76731)","(51.24365, 6.76015)",713.61,5635.93,2,22,28
51.244182114992064,6.73142650367575,51.24392070025828,6.777712191139092,9,18,27,4916,9,27,"(51.25188, 6.73981)","(51.25329, 6.74746)",1037.35,2355.46,4,9,17
51.2521553577706,6.714113765618813,51.259574813095526,6.7443211558722735,6,23,29,6872,6,23,"(51.25711, 6.71907)","(51.25988, 6.72197)",650.82,1560.59,2,6,11
51.26002121561401,6.685948036553759,51.270913579371175,6.726669256871629,6,19,25,5853,3,21,"(51.26532, 6.70355)","(51.26387, 6.71174)",1362.73,1303.75,5,5,14
51.24785597814092,6.770678047491944,51.236335929319374,6.726389602492946,4,17,21,4302,30,13,"(51.24472, 6.7643)","(51.24365, 6.76015)",565.74,2494.13,2,9,14
51.25697238388637,6.67758688087509,51.271353605348935,6.713294454935399,14,19,33,5367,3,20,"(51.26532, 6.70355)","(51.26726, 6.70757)",2036.4,605.83,8,2,13
