start_lat,start_lon,destination_lat,destination_lon,departure,conventional_t (in min),conventional_arrival,conventional_d (in km),pickup_station,dropoff_station,pickup_coord,dropoff_coord,distance_to_pickup,distance_from_dropoff,time_to_pickup,time_from_dropoff,min_ferry_time,objective,time_window,pickup_time,dropout_time,delay_dvar,assigned_ferry,ferry_travel_time
51.27322827446486,6.720873736821471,51.24255431442732,6.7381237082667775,18,25,43,7860,23,7,"(51.25988, 6.72197)","(51.25475, 6.72683)",1487.01,1569.31,5,6,15,operator,"[23, 37]",24.0,38.0,-0.0,2,26.0
51.23849056016707,6.74852197351598,51.24777925794921,6.773579544175812,8,12,20,3717,12,30,"(51.24654, 6.75545)","(51.24472, 6.7643)",1017.85,731.9,4,2,10,operator,"[12, 18]",13.0,19.0,-0.0,4,13.0
51.27354672461429,6.715605599136855,51.24842071667508,6.698695764641678,27,20,47,5605,21,4,"(51.26387, 6.71174)","(51.26235, 6.70734)",1109.86,1663.03,4,6,13,operator,"[31, 41]",32.0,42.0,-0.0,9,21.0
51.26138123781404,6.747931319642696,51.244627986772855,6.70536689360966,11,25,36,7663,26,8,"(51.25499, 6.74127)","(51.25323, 6.73313)",849.6,2161.82,3,8,15,operator,"[14, 28]",15.000000000000002,28.0,-0.0,0,25.0
51.24841009511734,6.705079373417772,51.26392848828112,6.740224090457254,5,32,37,9301,6,23,"(51.25711, 6.71907)","(51.25988, 6.72197)",1375.09,1351.43,5,5,13,operator,"[10, 32]",11.0,33.0,-0.0,7,33.0
51.25807602000119,6.7561744996274165,51.23322872055602,6.744864396356893,7,20,27,4971,27,11,"(51.25329, 6.74746)","(51.24869, 6.75055)",808.47,1765.34,3,7,14,operator,"[10, 20]",11.0,20.0,-0.0,6,20.0
51.26160988138197,6.682345317219434,51.26424039450749,6.719818353710134,3,20,23,6057,3,21,"(51.26532, 6.70355)","(51.26387, 6.71174)",1536.55,565.36,6,2,12,operator,"[9, 21]",10.0,21.0,-0.0,11,20.0
51.241678199291925,6.77934963577869,51.26605042448775,6.684089887952602,29,33,62,10379,31,13,"(51.24133, 6.76731)","(51.24365, 6.76015)",841.65,5865.67,3,23,30,operator,"[32, 39]",33.0,40.0,-0.0,10,34.0
51.25670080489163,6.742037442977694,51.23821144929014,6.736929284969229,14,16,30,4469,26,9,"(51.25499, 6.74127)","(51.25188, 6.73981)",197.73,1533.91,0,6,9,operator,"[14, 24]",16.0,25.0,-0.0,0,17.0
51.23633103976897,6.73307308602883,51.261274596308674,6.727554678511137,20,21,41,5779,8,24,"(51.25323, 6.73313)","(51.25804, 6.72913)",1880.06,376.29,7,1,12,operator,"[27, 40]",28.0,41.0,-0.0,3,22.0
51.26711669546381,6.683504983919243,51.25861770990101,6.740812804085542,11,24,35,7584,3,21,"(51.26532, 6.70355)","(51.26387, 6.71174)",1413.25,2111.81,5,8,17,operator,"[16, 27]",17.0,28.0,-0.0,11,25.0
51.25624947839509,6.760382225249686,51.2513244447165,6.687734869450848,9,26,35,8267,28,10,"(51.2517, 6.75325)","(51.2505, 6.7452)",710.01,4013.17,2,16,22,operator,"[11, 19]",12.0,19.00000000000002,-0.0,12,26.00000000000002
51.237643559349394,6.739023672690947,51.25264515983829,6.760123062231624,13,12,25,3108,11,29,"(51.24869, 6.75055)","(51.24811, 6.75954)",1469.07,506.19,5,2,11,operator,"[18, 23]",19.0,24.0,0.0,6,13.0
51.24591917265768,6.735650132704854,51.2528009261089,6.75672339071396,16,14,30,3760,10,28,"(51.2505, 6.7452)","(51.2517, 6.75325)",839.25,271.68,3,1,8,operator,"[19, 29]",20.0,30.0,-0.0,12,15.0
51.25307925782106,6.755103337124391,51.27239889099167,6.680204479558888,5,26,31,8150,27,9,"(51.25329, 6.74746)","(51.25188, 6.73981)",534.13,4745.66,2,18,24,operator,"[7, 13]",8.0,14.0,-0.0,13,27.0
51.26654430950735,6.684376057637179,51.25391397941883,6.759945551831508,26,28,54,8450,3,21,"(51.26532, 6.70355)","(51.26387, 6.71174)",1345.17,3542.66,5,14,23,operator,"[31, 40]",32.0,41.0,-0.0,5,29.0
51.26094445476347,6.735127103722962,51.24267840940877,6.699161157778251,17,31,48,9610,24,6,"(51.25804, 6.72913)","(51.25711, 6.71907)",528.83,2123.68,2,8,14,operator,"[19, 40]",20.0,41.0,-0.0,1,32.0
51.26583683121588,6.7348329850138215,51.24512456961854,6.74424407185078,17,19,36,5893,26,10,"(51.25499, 6.74127)","(51.2505, 6.7452)",1287.68,601.75,5,2,11,operator,"[22, 34]",23.0,27.0,-0.0,8,12.0
51.23769822489357,6.752329914779885,51.25104486293712,6.76648371702753,21,10,31,2813,13,30,"(51.24365, 6.76015)","(51.24472, 6.7643)",858.3,719.99,3,2,8,operator,"[24, 29]",27.0,30.0,-0.0,14,11.0
51.25276049242826,6.678695739003938,51.25761045477272,6.759881386272864,28,31,59,8973,3,21,"(51.26532, 6.70355)","(51.26387, 6.71174)",2227.68,3431.84,8,13,25,operator,"[36, 46]",37.0,47.0,-0.0,5,32.0
51.27322827446486,6.720873736821471,51.24255431442732,6.7381237082667775,18,25,43,7860,23,7,"(51.25988, 6.72197)","(51.25475, 6.72683)",1487.01,1569.31,5,6,15,passenger,"[23, 37]",24.0,28.0,-0.0,2,16.0
51.23849056016707,6.74852197351598,51.24777925794921,6.773579544175812,8,12,20,3717,12,30,"(51.24654, 6.75545)","(51.24472, 6.7643)",1017.85,731.9,4,2,10,passenger,"[12, 18]",13.0,17.0,-0.0,6,11.0
