,34,2,23,11,25,21,5,21,23,3,6,3,3,6,29,30,31,26,4,4,5,20,6,28,8,3,23,4,5,21,23,21,20,23,12,13,13,8,21,21,21,34
34,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2,1,0,1730,3600,2530,930,1200,930,1730,400,1600,400,400,1600,4130,4530,4930,2930,800,800,1200,530,1600,3730,2400,400,1730,800,1200,930,1730,930,530,1730,4000,4400,4400,2400,930,930,930,1
23,1,1730,0,2130,800,800,530,800,0,1330,350,1330,1330,350,2400,2800,3200,1200,930,930,530,1200,350,2000,930,1330,0,930,530,800,0,800,1200,0,2530,2930,2930,930,800,800,800,1
11,1,3600,2130,0,1330,2930,2400,2930,2130,3200,2000,3200,3200,2000,530,930,1330,930,2800,2800,2400,3330,2000,350,1200,3200,2130,2800,2400,2930,2130,2930,3330,2130,400,800,800,1200,2930,2930,2930,1
25,1,2530,800,1330,0,1600,1330,1600,800,2130,930,2130,2130,930,1600,2000,2400,400,1730,1730,1330,2000,930,1200,350,2130,800,1730,1330,1600,800,1600,2000,800,1730,2130,2130,350,1600,1600,1600,1
21,1,930,800,2930,1600,0,530,0,800,530,930,530,530,930,3200,3600,4000,2000,350,350,530,400,930,2800,1730,530,800,350,530,0,800,0,400,800,3330,3730,3730,1730,0,0,0,1
5,1,1200,530,2400,1330,530,0,530,530,800,400,800,800,400,2930,3330,3730,1730,400,400,0,930,400,2530,1200,800,530,400,0,530,530,530,930,530,2800,3200,3200,1200,530,530,530,1
21,1,930,800,2930,1600,0,530,0,800,530,930,530,530,930,3200,3600,4000,2000,350,350,530,400,930,2800,1730,530,800,350,530,0,800,0,400,800,3330,3730,3730,1730,0,0,0,1
23,1,1730,0,2130,800,800,530,800,0,1330,350,1330,1330,350,2400,2800,3200,1200,930,930,530,1200,350,2000,930,1330,0,930,530,800,0,800,1200,0,2530,2930,2930,930,800,800,800,1
3,1,400,1330,3200,2130,530,800,530,1330,0,1200,0,0,1200,3730,4130,4530,2530,400,400,800,350,1200,3330,2000,0,1330,400,800,530,1330,530,350,1330,3600,4000,4000,2000,530,530,530,1
6,1,1600,350,2000,930,930,400,930,350,1200,0,1200,1200,0,2530,2930,3330,1330,800,800,400,1330,0,2130,800,1200,350,800,400,930,350,930,1330,350,2400,2800,2800,800,930,930,930,1
3,1,400,1330,3200,2130,530,800,530,1330,0,1200,0,0,1200,3730,4130,4530,2530,400,400,800,350,1200,3330,2000,0,1330,400,800,530,1330,530,350,1330,3600,4000,4000,2000,530,530,530,1
3,1,400,1330,3200,2130,530,800,530,1330,0,1200,0,0,1200,3730,4130,4530,2530,400,400,800,350,1200,3330,2000,0,1330,400,800,530,1330,530,350,1330,3600,4000,4000,2000,530,530,530,1
6,1,1600,350,2000,930,930,400,930,350,1200,0,1200,1200,0,2530,2930,3330,1330,800,800,400,1330,0,2130,800,1200,350,800,400,930,350,930,1330,350,2400,2800,2800,800,930,930,930,1
29,1,4130,2400,530,1600,3200,2930,3200,2400,3730,2530,3730,3730,2530,0,400,800,1200,3330,3330,2930,3600,2530,400,1730,3730,2400,3330,2930,3200,2400,3200,3600,2400,350,530,530,1730,3200,3200,3200,1
30,1,4530,2800,930,2000,3600,3330,3600,2800,4130,2930,4130,4130,2930,400,0,400,1600,3730,3730,3330,4000,2930,800,2130,4130,2800,3730,3330,3600,2800,3600,4000,2800,530,350,350,2130,3600,3600,3600,1
31,1,4930,3200,1330,2400,4000,3730,4000,3200,4530,3330,4530,4530,3330,800,400,0,2000,4130,4130,3730,4400,3330,1200,2530,4530,3200,4130,3730,4000,3200,4000,4400,3200,930,530,530,2530,4000,4000,4000,1
26,1,2930,1200,930,400,2000,1730,2000,1200,2530,1330,2530,2530,1330,1200,1600,2000,0,2130,2130,1730,2400,1330,800,530,2530,1200,2130,1730,2000,1200,2000,2400,1200,1330,1730,1730,530,2000,2000,2000,1
4,1,800,930,2800,1730,350,400,350,930,400,800,400,400,800,3330,3730,4130,2130,0,0,400,530,800,2930,1600,400,930,0,400,350,930,350,530,930,3200,3600,3600,1600,350,350,350,1
4,1,800,930,2800,1730,350,400,350,930,400,800,400,400,800,3330,3730,4130,2130,0,0,400,530,800,2930,1600,400,930,0,400,350,930,350,530,930,3200,3600,3600,1600,350,350,350,1
5,1,1200,530,2400,1330,530,0,530,530,800,400,800,800,400,2930,3330,3730,1730,400,400,0,930,400,2530,1200,800,530,400,0,530,530,530,930,530,2800,3200,3200,1200,530,530,530,1
